time S E ES P
0 500 100 0 0
0.1 463 65 35 2
0.2 434 45 55 11
0.3 421 35 65 14
0.4 411 32 68 21
0.5 404 30 70 26
0.6 401 34 66 33
0.7 390 36 64 46
0.8 376 34 66 58
0.9 366 32 68 66
1 358 30 70 72
1.1 353 33 67 80
1.2 347 34 66 87
1.3 340 36 64 96
1.4 332 35 65 103
1.5 318 25 75 107
1.6 319 33 67 114
1.7 313 34 66 121
1.8 302 25 75 123
1.9 299 34 66 135
2 297 44 56 147
2.1 289 44 56 155
2.2 281 40 60 159
2.3 272 46 54 174
2.4 266 47 53 181
2.5 266 50 50 184
2.6 259 50 50 191
2.7 248 44 56 196
2.8 241 43 57 202
2.9 239 46 54 207
3 227 37 63 210
3.1 219 36 64 217
3.2 209 31 69 222
3.3 211 40 60 229
3.4 211 47 53 236
3.5 202 42 58 240
3.6 193 38 62 245
3.7 187 39 61 252
3.8 180 39 61 259
3.9 175 42 58 267
4 172 45 55 273
4.1 164 41 59 277
4.2 150 35 65 285
4.3 149 37 63 288
4.4 151 48 52 297
4.5 149 50 50 301
4.6 143 52 48 309
4.7 137 49 51 312
4.8 135 57 43 322
4.9 130 56 44 326
5 124 53 47 329
5.1 119 53 47 334
5.2 114 52 48 338
5.3 112 53 47 341
5.4 110 54 46 344
5.5 109 58 42 349
5.6 106 60 40 354
5.7 99 57 43 358
5.8 99 65 35 366
5.9 95 65 35 370
6 87 62 38 375
6.1 83 61 39 378
6.2 77 58 42 381
6.3 74 59 41 385
6.4 74 67 33 393
6.5 73 66 34 393
6.6 71 67 33 396
6.7 70 72 28 402
6.8 63 69 31 406
6.9 61 71 29 410
7 59 70 30 411
7.1 56 70 30 414
7.2 52 70 30 418
7.3 49 69 31 420
7.4 50 76 24 426
7.5 45 73 27 428
7.6 44 76 24 432
7.7 44 79 21 435
7.8 42 77 23 435
7.9 43 80 20 437
8 40 77 23 437
8.1 39 77 23 438
8.2 34 75 25 441
8.3 37 79 21 442
8.4 34 79 21 445
8.5 33 83 17 450
8.6 29 83 17 454
8.7 28 86 14 458
8.8 27 87 13 460
8.9 20 81 19 461
9 18 82 18 464
9.1 18 82 18 464
9.2 18 83 17 465
9.3 19 86 14 467
9.4 18 86 14 468
9.5 21 89 11 468
9.6 22 90 10 468
9.7 17 88 12 471
9.8 16 89 11 473
9.9 14 88 12 474
10 12 86 14 474
